Height,Width,PIPESHAPE,LABEL,ExistingMaxS,ExistingCap,Replacement_D,ReplacementCap
12,12,BOX,"1'0"" X 1'0"" VCP",14.49240719,3.940224755,18,9.125012242
24,8,BOX,"2'0"" X 0'8"" RCP",14.49240719,5.253633006,18,9.125012242
20,30,EGG,"1'8"" X 2'6"" Brick",10.34695867,6.612689756,18,9.125012242
24,12,BOX,"2'0"" X 1'0"" Brick",9.873525524,9.547400217,21,13.76513718
27,18,EGG,"2'3"" X 1'6"" Brick",6.933419331,14.72238966,24,19.65373366
24,18,BOX,"2'0"" X 1'6"" Brick",7.061119005,16.9346314,24,19.65373366
30,20,EGG,"2'6"" X 1'8"" Brick",6.024305323,19.49905371,24,19.65373366
30,18,BOX,"2'6"" X 1'6"" RCP",6.26551582,22.47212342,27,31.04679331
28,20,BOX,"2'4"" X 1'8"" UNK",5.968803456,23.87663688,27,31.04679331
24,24,BOX,"2'0"" X 2'0"" Brick",5.748658547,25.02464894,27,31.04679331
33,18,BOX,"2'9"" X 1'6"" CC",5.98221191,25.2978909,27,31.04679331
36,18,BOX,"3'0"" X 1'6"" RCP",5.748658547,28.15273005,27,31.04679331
30,22,BOX,"2'6"" X 1'10"" RCP",5.334222737,29.76714133,27,31.04679331
33,21,BOX,"2'9"" X 1'9"" RCP",5.256170403,31.48670994,30,41.11989318
36,24,EGG,"3'0"" X 2'0"" Brick",4.723666113,31.70953831,30,41.11989318
36,21,BOX,"3'0"" X 1'9"" RCP",5.030177127,35.11227129,30,41.11989318
34,24,BOX,"2'10"" X 2'0"" RCP",4.649567613,39.41963893,30,41.11989318
48,18,BOX,"4'0"" X 1'6"" RCP",5.118663421,39.77994907,30,41.11989318
32,28,BOX,"2'8"" X 2'4"" Brick",4.294070585,45.04039464,36,66.86954389
30,30,BOX,"2'6"" X 2'6"" RCP",4.268630432,45.37608245,36,66.86954389
48,20,BOX,"4'0"" X 1'8"" RCP",4.628191928,46.48301822,36,66.86954389
42,28,EGG,"3'6"" X 2'4"" Brick",3.845671423,47.83403387,36,66.86954389
36,27,BOX,"3'0"" X 2'3"" RCP",4.111192301,49.93569931,36,66.86954389
43,34,EGG,"3'7"" X 2'10"" Brick",3.726831938,50.93209262,36,66.86954389
26,39,BOX,"2'2"" X 3'3"" UNK",4.051035804,52.47877407,36,66.86954389
39,26,BOX,"3'3"" X 2'2"" Brick",4.051035804,52.47877407,36,66.86954389
45,24,BOX,"3'9"" X 2'0"" RCP",4.033032234,56.01917078,36,66.86954389
40,27,BOX,"3'4"" X 2'3"" Brick",3.877848096,57.12906629,36,66.86954389
36,30,BOX,"3'0"" X 2'6"" RCP",3.800831494,57.70496932,36,66.86954389
24,48,BOX,"2'0"" X 4'0"" RCP",3.916500975,60.63622092,36,66.86954389
48,24,BOX,"4'0"" X 2'0"" RCP",3.916500975,60.63622092,36,66.86954389
39,30,BOX,"3'3"" X 2'6"" RCP",3.624591297,64.01549486,36,66.86954389
33,36,BOX,"2'9"" X 3'0"" RCP",3.551516617,65.66565522,36,66.86954389
30,40,BOX,"2'6"" X 3'4"" Brick",3.572130356,66.13728512,36,66.86954389
45,27,BOX,"3'9"" X 2'3"" RCP",3.647968599,66.26428241,36,66.86954389
